"Rank","Player","RU_ATT","RU_YDS","Y/A","LG","20+","RU_TD","REC","TGT","RE_YDS","Y/R","RE_TD","FL","G","FPTS","FPTS/G","OWN"
"86","Rodney Smith (CAR)","41","156","3.8","13","0","1","9","11","59","6.6","0","0","7","27.5","3.9","0.1%"
"87","Darwin Thompson (KC)","27","97","3.6","14","0","1","7","11","65","9.3","1","1","13","26.2","2.0","0.1%"
"88","Royce Freeman (DEN)","35","170","4.9","23","0","0","12","13","81","6.8","0","0","16","25.1","1.6","0.2%"
"89","JaMycal Hasty (SF)","39","148","3.8","20","0","1","7","8","33","4.7","0","0","8","24.1","3.0","0.1%"
"90","Travis Homer (SEA)","25","88","3.5","12","0","0","9","10","90","10.0","1","0","9","23.8","2.6","0.3%"
"91","Chris Thompson (FA)","7","20","2.9","5","0","0","20","23","146","7.3","1","0","8","22.6","2.8","0.0%"
"92","Ameer Abdullah (MIN)","8","42","5.3","13","0","0","8","9","58","7.3","2","0","16","22.0","1.4","0.3%"
"93","Antonio Williams (BUF)","12","63","5.3","18","0","2","1","1","20","20.0","0","0","1","20.3","20.3","0.1%"
"94","Alex Collins (SEA)","18","77","4.3","13","0","2","1","2","4","4.0","0","0","3","20.1","6.7","0.1%"
"95","Dare Ogunbowale (JAC)","32","145","4.5","25","0","0","10","20","54","5.4","0","0","14","19.9","1.4","0.1%"
"96","Ke'Shawn Vaughn (TB)","26","109","4.2","19","0","0","5","10","34","6.8","1","1","10","18.3","1.8","1.3%"
"97","D'Ernest Johnson (CLE)","33","166","5.0","28","0","0","3","4","14","4.7","0","0","16","18.0","1.1","0.3%"
"98","C.J. Ham (MIN)","5","18","3.6","10","0","0","8","14","97","12.1","1","0","15","17.5","1.2","0.1%"
"99","Alec Ingold (LV)","3","4","1.3","3","0","0","12","17","110","9.2","1","0","16","17.4","1.1","0.1%"
"100","Trayveon Williams (CIN)","26","157","6.0","55","0","0","5","5","30","6.0","0","1","10","16.7","1.7","0.3%"
"101","Anthony McFarland Jr. (PIT)","33","113","3.4","20","0","0","6","10","54","9.0","0","0","11","16.7","1.5","0.8%"
"102","D'Onta Foreman (ATL)","22","95","4.3","15","0","0","1","1","5","5.0","1","0","6","16.0","2.7","0.1%"
"103","Corey Clement (NYG)","21","75","3.6","7","0","1","5","6","25","5.0","0","0","15","16.0","1.1","0.1%"
"104","T.J. Yeldon (FA)","10","70","7.0","34","0","0","1","4","22","22.0","1","0","3","15.2","5.1","0.0%"
"105","Tyler Ervin (FA)","13","67","5.2","21","0","0","11","15","84","7.6","0","0","8","15.1","1.9","0.0%"
"106","Reggie Bonnafon (CAR)","12","69","5.8","22","0","0","2","2","18","9.0","1","0","2","14.7","7.4","0.1%"
"107","Darrynton Evans (TEN)","14","54","3.9","9","0","0","2","4","27","13.5","1","0","5","14.1","2.8","5.1%"
"108","LeSean McCoy (FA)","10","31","3.1","14","0","0","15","19","101","6.7","0","0","10","13.2","1.3","1.1%"
"109","Mike Boone (DEN)","11","59","5.4","19","0","1","2","2","10","5.0","0","0","16","12.9","0.8","0.6%"
"110","Ty Montgomery (NO)","19","101","5.3","36","0","0","3","6","27","9.0","0","0","6","12.8","2.1","0.3%"
"111","Ryan Nall (CHI)","3","0","0.0","0","0","0","8","9","67","8.4","1","0","15","12.7","0.8","0.1%"
"112","DeAndre Washington (FA)","31","91","2.9","16","0","0","5","10","30","6.0","0","0","4","12.1","3.0","11.0%"
"113","Patrick Laird (MIA)","13","72","5.5","17","0","0","10","12","68","6.8","0","1","16","12.0","0.8","0.0%"
"114","Troymaine Pope (TB)","15","76","5.1","26","0","0","8","10","42","5.3","0","0","6","11.8","2.0","0.0%"
"115","Tarik Cohen (CHI)","14","74","5.3","17","0","0","6","9","41","6.8","0","0","3","11.5","3.8","18.5%"
"116","J.J. Taylor (NE)","23","110","4.8","28","0","0","1","2","4","4.0","0","0","6","11.4","1.9","0.2%"
"117","Jakob Johnson (NE)","0","0","0","0","0","0","8","9","35","4.4","1","0","16","9.5","0.6","0.0%"
"118","Saquon Barkley (NYG)","19","34","1.8","18","0","0","6","9","60","10.0","0","0","2","9.4","4.7","99.9%"
"119","Artavis Pierce (CHI)","6","34","5.7","23","0","1","0","0","0","0","0","0","5","9.4","1.9","0.0%"
"120","Tevin Coleman (NYJ)","28","53","1.9","12","0","0","4","5","34","8.5","0","0","8","8.7","1.1","10.0%"
"121","Patrick Ricard (BAL)","1","-1","-1.0","0","0","0","9","12","45","5.0","1","1","15","8.0","0.5","0.1%"
"122","Justice Hill (BAL)","12","60","5.0","19","0","0","5","5","20","4.0","0","0","12","8.0","0.7","0.3%"
"123","C.J. Prosise (TB)","10","19","1.9","7","0","0","5","5","18","3.6","1","1","10","7.7","0.8","0.0%"
"124","Reggie Gilliam (BUF)","0","0","0","0","0","0","2","2","16","8.0","1","0","14","7.6","0.5","0.0%"
"125","Jaylen Samuels (PIT)","9","28","3.1","6","0","0","9","14","46","5.1","0","0","14","7.4","0.5","0.3%"
"126","Anthony Sherman (FA)","3","8","2.7","6","0","0","1","2","5","5.0","1","0","12","7.3","0.6","0.0%"
"127","Jonathan Ward (ARI)","0","0","0","0","0","0","1","1","11","11.0","1","0","14","7.1","0.5","0.1%"
"128","Buddy Howell (HOU)","16","64","4.0","9","0","0","1","2","3","3.0","0","0","14","6.7","0.5","0.0%"
"129","Keith Smith (ATL)","4","7","1.8","3","0","0","11","15","59","5.4","0","0","16","6.6","0.4","0.0%"
"130","Theo Riddick (LV)","6","14","2.3","11","0","0","5","6","43","8.6","0","0","5","5.7","1.1","0.0%"
"131","Marlon Mack (IND)","4","26","6.5","18","0","0","3","3","30","10.0","0","0","1","5.6","5.6","9.6%"
"132","Dontrell Hilliard (HOU)","9","48","5.3","19","0","0","1","1","2","2.0","0","0","7","5.0","0.7","0.0%"
"133","Trenton Cannon (CAR)","10","33","3.3","13","0","0","3","3","16","5.3","0","0","14","4.9","0.4","0.0%"
"134","Michael Burton (KC)","7","18","2.6","7","0","0","4","4","28","7.0","0","0","15","4.6","0.3","0.0%"
"135","Devine Ozigbo (JAC)","1","1","1.0","1","0","0","9","9","42","4.7","0","0","8","4.3","0.5","0.0%"
"136","Khari Blasingame (TEN)","0","0","0","0","0","0","4","5","39","9.8","0","0","15","3.9","0.3","0.0%"
"137","Elijhaa Penny (NYG)","6","15","2.5","5","0","0","2","3","20","10.0","0","0","14","3.5","0.3","0.0%"
"138","Rashaad Penny (SEA)","11","34","3.1","7","0","0","0","0","0","0","0","0","3","3.4","1.1","14.6%"
"139","Bo Scarbrough (LV)","6","31","5.2","12","0","0","0","0","0","0","0","0","1","3.1","3.1","0.0%"
"140","Austin Walter (NYJ)","1","3","3.0","3","0","0","1","1","27","27.0","0","0","4","3.0","0.8","0.0%"
"141","Alex Armah (NO)","6","9","1.5","3","0","0","5","9","18","3.6","0","0","16","2.7","0.2","0.0%"
"142","Rico Dowdle (DAL)","7","24","3.4","7","0","0","0","0","0","0","0","0","15","2.4","0.2","0.1%"
"143","Jason Huntley (PHI)","5","19","3.8","10","0","0","1","2","0","0.0","0","0","5","1.9","0.4","0.1%"
"144","Andy Janovich (CLE)","2","4","2.0","2","0","0","2","5","13","6.5","0","0","14","1.7","0.1","0.1%"
"145","Scottie Phillips (HOU)","2","9","4.5","5","0","0","1","1","7","7.0","0","0","8","1.6","0.2","0.0%"
"146","LeVante Bellamy (DEN)","4","11","2.8","8","0","0","1","1","5","5.0","0","0","5","1.6","0.3","0.0%"
"147","Dwayne Washington (NO)","8","15","1.9","5","0","0","0","0","0","0","0","0","11","1.5","0.1","0.0%"
"148","Tony Jones Jr. (NO)","3","13","4.3","6","0","0","0","0","0","0","0","0","1","1.3","1.3","0.1%"
"149","Senorise Perry (FA)","2","9","4.5","6","0","0","0","0","0","0","0","0","7","0.9","0.1","0.0%"
"150","Chandler Cox (FA)","0","0","0","0","0","0","2","2","9","4.5","0","0","8","0.9","0.1","0.0%"
"151","D.J. Foster (FA)","2","2","1.0","2","0","0","1","1","7","7.0","0","0","10","0.9","0.1","0.0%"
"152","Gabe Nabers (LAC)","2","7","3.5","4","0","0","5","7","25","5.0","2","0","16","0.8","0.1","0.0%"
"153","Dexter Williams (GB)","2","8","4.0","5","0","0","0","0","0","0","0","0","3","0.8","0.3","0.1%"
"154","Craig Reynolds (DET)","1","4","4.0","4","0","0","1","1","3","3.0","0","0","2","0.7","0.4","0.1%"
"155","Lamar Miller (WAS)","0","0","0","0","0","0","2","2","6","3.0","0","0","1","0.6","0.6","0.1%"
"156","Cullen Gillaspia (NYG)","0","0","0","0","0","0","1","1","6","6.0","0","0","7","0.6","0.1","0.0%"
"157","Jonathan Williams (WAS)","1","5","5.0","5","0","0","4","4","21","5.3","0","1","5","0.6","0.1","0.0%"
"158","Tony Brooks-James (PIT)","3","4","1.3","4","0","0","0","0","0","0","0","0","1","0.4","0.4","0.0%"
"159","Qadree Ollison (ATL)","1","3","3.0","3","0","0","0","0","0","0","0","0","3","0.3","0.1","1.6%"
"160","Chuba Hubbard (CAR)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","10.4%"
"161","Jason Cabinda (DET)","1","0","0.0","0","0","0","2","3","8","4.0","0","0","16","0.0","0.0","0.0%"
"162","Cameron Scarlett (SEA)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"163","Mikey Daniel (CAR)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"164","Malcolm Perry (MIA)","3","5","1.7","6","0","0","9","13","92","10.2","1","0","9","0.0","0.0","0.0%"
"165","Nathan Cottrell (JAC)","0","0","0","0","0","0","0","0","0","0","0","0","8","0.0","0.0","0.0%"
"166","Jake Bargas (MIN)","0","0","0","0","0","0","0","0","0","0","0","0","1","0.0","0.0","0.0%"
"167","Josh Hokit (SF)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"168","Jermar Jefferson (DET)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.7%"
"169","Pete Guerriero (PIT)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"170","Raymond Calais (LAR)","0","0","0","0","0","0","0","0","0","0","0","0","4","0.0","0.0","0.2%"
"171","Ty'Son Williams (BAL)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"172","John Kelly (CLE)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"173","Sewo Olonilua (DAL)","0","0","0","0","0","0","0","0","0","0","0","0","2","0.0","0.0","0.0%"
"174","Pooka Williams Jr. (CIN)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"175","Trey Edmunds (PIT)","0","0","0","0","0","0","0","0","0","0","0","0","4","0.0","0.0","0.0%"
"176","Patrick Taylor Jr. (GB)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"177","Deon Jackson (IND)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"178","Sandro Platzgummer (NYG)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"179","Demetric Felton (CLE)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.1%"
"180","Mekhi Sargent (TEN)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"181","Jaret Patterson (WAS)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.6%"
"182","Trey Ragas (LV)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"183","Larry Rountree III (LAC)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.9%"
"184","Andrew Beck (DEN)","0","0","0","0","0","0","0","0","0","0","0","0","10","0.0","0.0","0.0%"
"185","John Lovett (FA)","3","6","2.0","4","0","0","0","0","0","0","0","0","8","0.0","0.0","0.0%"
"186","Jeremy Cox (FA)","0","0","0","0","0","0","0","0","0","0","0","0","7","0.0","0.0","0.1%"
"187","Dalyn Dawkins (DET)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.1%"
"188","Aca'Cedric Ware (TB)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"189","Jacques Patrick (CIN)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"190","Jordan Scarlett (MIA)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"191","Sutton Smith (NO)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"192","Damarea Crockett (DEN)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"193","Mike Weber (NYG)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"194","Elijah Holyfield (PHI)","0","0","0","0","0","0","0","0","0","0","0","0","1","0.0","0.0","0.0%"
"195","Christian Wade (BUF)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"196","Caleb Huntley (ATL)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"197","Michael Warren II (DET)","0","0","0","0","0","0","0","0","0","0","0","0","1","0.0","0.0","0.0%"
"198","Trey Sermon (SF)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","72.6%"
"199","Javon Leake (DET)","0","0","0","0","0","0","0","0","0","0","0","0","1","0.0","0.0","0.0%"
"200","Tavien Feaster (ARI)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"201","Donnie Ernsberger (TEN)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"202","Darius Anderson (IND)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"203","Darius Bradwell (LAC)","0","0","0","0","0","0","0","0","0","0","0","0","2","0.0","0.0","0.0%"
"204","Benny LeMay (IND)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"205","Xavier Jones (LAR)","0","0","0","0","0","0","0","0","0","0","0","0","13","0.0","0.0","7.4%"
"206","Chris Johnson (NYG)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"207","Eno Benjamin (ARI)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.4%"
"208","Derrick Gore (KC)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"209","Johnny Stanton (CLE)","0","0","0","0","0","0","0","0","0","0","0","0","1","0.0","0.0","0.0%"
"210","Travis Etienne (JAC)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","91.5%"
"211","Najee Harris (PIT)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","98.8%"
"212","Kylin Hill (GB)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.7%"
"213","Stevie Scott III (NO)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"214","CJ Marable (CHI)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"215","Elijah Mitchell (SF)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.8%"
"216","Chris Evans (CIN)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.8%"
"217","Khalil Herbert (CHI)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.7%"
"218","Javian Hawkins (ATL)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1.7%"
"219","Javonte Williams (DEN)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","84.8%"
"220","Michael Carter (NYJ)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","73.4%"
"221","Rhamondre Stevenson (NE)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","6.0%"
"222","Darius Clark (CAR)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"223","Jake Funk (LAR)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2.0%"
"224","Kene Nwangwu (MIN)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.2%"
"225","Nick Ralston (DAL)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"226","Otis Anderson Jr. (LAR)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"227","Nate McCrary (BAL)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"228","Josh Johnson (SEA)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"229","Adam Prentice (DEN)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"230","Tre Harbison (CLE)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"231","Garrett Groshek (LV)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"232","B.J. Emmons (LV)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"233","Carl Tucker (MIA)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"234","A.J. Rose Jr. (MIN)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"235","Spencer Brown (CAR)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"236","Dedrick Mills (DET)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"237","JaQuan Hardy (DAL)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"238","Tory Carter (TEN)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
