"Rank","Player","REC","TGT","RE_YDS","Y/R","LG","20+","RE_TD","RU_ATT","RU_YDS","RU_TD","FL","G","FPTS","FPTS/G","OWN"
"76","Josh Hill (FA)","8","10","46","5.8","16","0","1","0","0","0","0","14","10.6","0.8","0.0%"
"77","Stephen Anderson (LAC)","8","11","106","13.3","23","0","0","0","0","0","0","16","10.6","0.7","0.0%"
"78","Devin Asiasi (NE)","2","7","39","19.5","26","0","1","0","0","0","0","8","9.9","1.2","0.1%"
"79","Vance McDonald (FA)","15","20","99","6.6","15","0","0","0","0","0","0","14","9.9","0.7","0.0%"
"80","Ryan Griffin (NYJ)","9","12","86","9.6","23","0","0","0","0","0","0","15","8.6","0.6","0.0%"
"81","Dominique Dafney (GB)","2","2","26","13.0","13","0","1","0","0","0","0","5","8.6","1.7","0.0%"
"82","Colin Thompson (CAR)","1","2","7","7.0","7","0","1","0","0","0","0","15","6.7","0.4","0.0%"
"83","Jordan Thomas (IND)","1","2","3","3.0","3","0","1","0","0","0","0","6","6.3","1.1","0.0%"
"84","Luke Stocker (TEN)","7","11","63","9.0","25","0","0","0","0","0","0","16","6.3","0.4","0.0%"
"85","Jason Croom (PHI)","1","1","3","3.0","3","0","1","0","0","0","0","4","6.3","1.6","0.0%"
"86","Cethan Carter (MIA)","5","7","53","10.6","24","0","0","0","0","0","0","15","5.3","0.4","0.0%"
"87","Johnny Mundt (LAR)","4","4","53","13.3","34","0","0","0","0","0","0","16","5.3","0.3","0.0%"
"88","Chris Manhertz (JAC)","6","8","52","8.7","17","0","0","0","0","0","0","16","5.2","0.3","0.1%"
"89","Levine Toilolo (NYG)","5","6","46","9.2","14","0","0","0","0","0","0","16","4.6","0.3","0.0%"
"90","Demetrius Harris (ARI)","7","14","45","6.4","9","0","0","0","0","0","0","15","4.5","0.3","0.0%"
"91","Hunter Bryant (DET)","1","3","44","44.0","44","0","0","0","0","0","0","5","4.4","0.9","0.0%"
"92","Nick Keizer (KC)","6","10","63","10.5","22","0","0","0","0","0","1","16","4.3","0.3","0.0%"
"93","Tanner Hudson (TB)","3","7","41","13.7","20","0","0","0","0","0","0","11","4.1","0.4","0.0%"
"94","Deon Yelder (TEN)","7","11","36","5.1","12","0","0","0","0","0","0","14","3.6","0.3","0.0%"
"95","Charlie Woerner (SF)","3","4","36","12.0","18","0","0","0","0","0","0","14","3.6","0.3","0.0%"
"96","Kahale Warring (HOU)","3","7","35","11.7","23","0","0","0","0","0","0","7","3.5","0.5","0.0%"
"97","Daniel Brown (NYJ)","2","2","31","15.5","18","0","0","0","0","0","0","16","3.1","0.2","0.0%"
"98","Stephen Carlson (CLE)","1","2","11","11.0","11","0","0","0","0","0","0","16","3.1","0.2","0.0%"
"99","Ben Ellefson (JAC)","1","4","10","10.0","10","0","0","0","0","0","0","7","3.0","0.4","0.0%"
"100","Jaeden Graham (ATL)","3","5","25","8.3","11","0","0","0","0","0","0","16","2.5","0.2","0.0%"
"101","Colby Parkinson (SEA)","2","2","16","8.0","10","0","0","0","0","0","0","6","1.6","0.3","0.1%"
"102","Eric Saubert (DEN)","3","4","16","5.3","9","0","0","0","0","0","0","8","1.6","0.2","0.0%"
"103","Dalton Keene (NE)","3","5","16","5.3","8","0","0","0","0","0","0","6","1.6","0.3","0.0%"
"104","Derek Carrier (LV)","1","1","14","14.0","14","0","0","0","0","0","0","16","1.4","0.1","0.0%"
"105","Luke Willson (SEA)","1","3","12","12.0","12","0","0","0","0","0","0","8","1.2","0.2","0.0%"
"106","Blake Jarwin (DAL)","1","1","12","12.0","12","0","0","0","0","0","0","1","1.2","1.2","13.2%"
"107","Josiah Deguara (GB)","1","2","12","12.0","12","0","0","0","0","0","0","2","1.2","0.6","0.1%"
"108","Temarrick Hemingway (WAS)","1","2","10","10.0","10","0","0","0","0","0","0","8","1.0","0.1","0.0%"
"109","Jeremy Sprinkle (DAL)","1","3","6","6.0","6","0","0","0","0","0","0","16","0.6","0.0","0.1%"
"110","Brandon Dillon (MIN)","1","1","6","6.0","6","0","0","0","0","0","0","3","0.6","0.2","0.0%"
"111","Jake Butt (CHI)","2","4","5","2.5","5","0","0","0","0","0","0","5","0.5","0.1","0.2%"
"112","Trevon Wesco (NYJ)","1","2","5","5.0","5","0","0","1","0","0","0","12","0.5","0.0","0.0%"
"113","Isaac Nauta (GB)","1","2","3","3.0","3","0","0","0","0","0","0","7","0.3","0.0","0.0%"
"114","Bruce Miller (FA)","1","2","2","2.0","2","0","0","0","0","0","0","8","0.2","0.0","0.0%"
"115","Marcus Baugh (PIT)","1","1","2","2.0","2","0","0","0","0","0","0","8","0.2","0.0","0.0%"
"116","Dax Raymond (PIT)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"117","Andrew Beck (DEN)","0","0","0","0","0","0","0","0","0","0","0","10","0.0","0.0","0.0%"
"118","Zach Gentry (PIT)","0","0","0","0","0","0","0","0","0","0","0","2","0.0","0.0","0.0%"
"119","Carson Meier (MIA)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"120","Caleb Wilson (WAS)","0","0","0","0","0","0","0","0","0","0","0","5","0.0","0.0","0.0%"
"121","Hakeem Butler (PHI)","0","1","0","0","0","0","0","0","0","0","0","2","0.0","0.0","0.0%"
"122","Tommy Sweeney (BUF)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.1%"
"123","Daniel Helm (FA)","0","0","0","0","0","0","0","0","0","0","0","5","0.0","0.0","0.1%"
"124","Luke Farrell (JAC)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"125","Kendall Blanton (LAR)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"126","Jesper Horsted (CHI)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"127","Josh Oliver (BAL)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"128","Alize Mack (DET)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"129","Tyree Jackson (PHI)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"130","Hale Hentges (FA)","0","0","0","0","0","0","0","0","0","0","0","1","0.0","0.0","0.0%"
"131","Parker Hesse (ATL)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"132","Matthew Orzech (LAR)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"133","Justin Johnson (ARI)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"134","Ian Bunting (ARI)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"135","Chris Myarick (MIA)","0","0","0","0","0","0","0","0","0","0","0","3","0.0","0.0","0.0%"
"136","Brycen Hopkins (LAR)","0","0","0","0","0","0","0","0","0","0","0","4","0.0","0.0","0.1%"
"137","Jared Pinkney (TEN)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"138","Jake Breeland (BAL)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"139","Austin Fort (DEN)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"140","John Lovett (FA)","0","0","0","0","0","0","0","3","6","0","0","8","0.0","0.0","0.0%"
"141","Nate Becker (BUF)","0","0","0","0","0","0","0","0","0","0","0","1","0.0","0.0","0.0%"
"142","Matt Sokol (LAC)","0","0","0","0","0","0","0","0","0","0","0","2","0.0","0.0","0.0%"
"143","Mitchell Fraboni (HOU)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"144","Hunter Long (MIA)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.3%"
"145","Shaun Beyer (DEN)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"146","Tyrone Swoopes (WAS)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"147","De'Quan Hampton (TB)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"148","John Raine (ATL)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"149","Zach Davidson (MIN)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"150","Carl Tucker (MIA)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"151","Bernhard Seikovits (ARI)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"152","Nick Ralston (DAL)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"153","Sal Cannella (MIA)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"154","Evan Baylis (KC)","0","0","0","0","0","0","0","0","0","0","0","5","0.0","0.0","0.0%"
"155","Graham Adomitis (IND)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"156","Daniel Crawford (GB)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"157","Sean Culkin (FA)","0","0","0","0","0","0","0","0","0","0","0","1","0.0","0.0","0.0%"
"158","Kalif Jackson (MIA)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"159","Noah Grey (KC)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"160","Matt Seybert (LAC)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"161","Jake Hausmann (NYG)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"162","Shane Zylstra (MIN)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"163","Jibri Blount (MIA)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"164","Nick Guggemos (WAS)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"165","Hunter Kampmoyer (LAC)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
