"Rank","Player","REC","TGT","RE_YDS","Y/R","LG","20+","RE_TD","RU_ATT","RU_YDS","RU_TD","FL","G","FPTS","FPTS/G","OWN"
"96","Miles Boykin (BAL)","19","33","266","14.0","43","0","4","0","0","0","0","16","50.6","3.2","0.2%"
"97","Cordarrelle Patterson (ATL)","21","25","132","6.3","25","0","0","64","232","1","0","16","48.4","3.0","1.8%"
"98","Deebo Samuel (SF)","33","44","391","11.8","35","0","1","8","26","0","0","7","47.7","6.8","86.3%"
"99","Larry Fitzgerald (FA)","54","72","409","7.6","18","0","1","0","0","0","0","13","46.9","3.6","0.7%"
"100","Quintez Cephus (DET)","20","35","349","17.5","49","0","2","0","0","0","0","13","46.9","3.6","1.0%"
"101","Kenny Golladay (NYG)","20","32","338","16.9","48","0","2","0","0","0","0","5","45.8","9.2","91.5%"
"102","Donovan Peoples-Jones (CLE)","14","20","304","21.7","75","0","2","0","0","0","0","12","44.4","3.7","2.1%"
"103","Michael Thomas (NO)","40","55","438","11.0","24","0","0","1","1","0","0","7","43.9","6.3","86.8%"
"104","Marvin Hall (NE)","18","32","302","16.8","73","0","2","1","1","0","0","12","42.3","3.5","0.0%"
"105","Richie James Jr. (SF)","23","35","394","17.1","47","0","1","0","0","0","2","11","41.4","3.8","0.1%"
"106","Collin Johnson (JAC)","18","31","272","15.1","46","0","2","0","0","0","0","14","41.2","2.9","0.2%"
"107","N'Keal Harry (NE)","33","57","309","9.4","30","0","2","2","0","0","1","14","40.9","2.9","1.4%"
"108","DaeSean Hamilton (DEN)","23","44","293","12.7","40","0","2","0","0","0","1","16","39.3","2.5","0.0%"
"109","Denzel Mims (NYJ)","23","44","357","15.5","30","0","0","0","0","0","0","9","37.7","4.2","3.6%"
"110","Julian Edelman (FA)","21","39","315","15.0","49","0","0","2","22","0","0","6","35.2","5.9","13.1%"
"111","Adam Humphries (WAS)","23","35","228","9.9","23","0","2","1","0","0","0","7","34.8","5.0","0.9%"
"112","Cedrick Wilson (DAL)","17","28","189","11.1","42","0","2","3","-12","0","0","16","34.6","2.2","0.1%"
"113","Andy Isabella (ARI)","21","35","224","10.7","54","0","2","1","-6","0","0","13","33.8","2.6","0.6%"
"114","Olamide Zaccheaus (ATL)","20","32","274","13.7","51","0","1","1","0","0","0","11","33.4","3.0","0.6%"
"115","Devin Duvernay (BAL)","20","26","201","10.1","39","0","0","4","70","0","0","16","33.1","2.1","0.7%"
"116","DeSean Jackson (LAR)","14","26","236","16.9","81","0","1","1","12","0","0","5","30.8","6.2","2.6%"
"117","Steven Sims Jr. (WAS)","27","37","265","9.8","30","0","1","1","18","0","2","12","30.3","2.5","0.1%"
"118","Chad Beebe (MIN)","20","30","201","10.1","40","0","2","0","0","0","1","14","30.1","2.2","0.1%"
"119","Chad Hansen (DET)","17","24","236","13.9","38","0","1","0","0","0","0","5","29.6","5.9","0.0%"
"120","Tyler Johnson (TB)","12","17","169","14.1","35","0","2","0","0","0","0","14","28.9","2.1","0.7%"
"121","Dontrelle Inman (FA)","18","28","163","9.1","17","0","2","0","0","0","0","10","28.3","2.8","0.0%"
"122","Byron Pringle (KC)","13","17","160","12.3","37","0","1","0","0","0","0","12","28.0","2.3","1.1%"
"123","Van Jefferson (LAR)","19","31","220","11.6","31","0","1","1","-1","0","0","16","27.9","1.7","3.9%"
"124","Freddie Swain (SEA)","13","21","159","12.2","23","0","2","0","0","0","0","16","27.9","1.7","0.1%"
"125","Deonte Harris (NO)","20","25","186","9.3","40","0","1","6","51","0","1","9","27.7","3.1","0.9%"
"126","Isaiah Ford (MIA)","28","44","276","9.9","18","0","0","0","0","0","0","10","27.6","2.8","0.0%"
"127","Mohamed Sanu (SF)","17","24","187","11.0","21","0","1","1","3","0","0","10","27.0","2.7","0.1%"
"128","Marcus Johnson (TEN)","14","28","255","18.2","55","0","0","0","0","0","0","11","25.5","2.3","0.0%"
"129","Bryan Edwards (LV)","11","15","193","17.5","34","0","1","0","0","0","0","12","25.3","2.1","6.5%"
"130","Zay Jones (LV)","14","20","154","11.0","37","0","1","0","0","0","0","16","22.6","1.4","0.1%"
"131","Mack Hollins (MIA)","16","25","176","11.0","34","0","1","0","0","0","1","16","21.6","1.4","0.0%"
"132","Marquez Callaway (NO)","21","27","213","10.1","27","0","0","0","0","0","0","11","21.3","1.9","15.5%"
"133","Bisi Johnson (MIN)","14","19","189","13.5","29","0","0","0","0","0","0","16","20.9","1.3","0.0%"
"134","Gunner Olszewski (NE)","5","5","62","12.4","38","0","1","5","23","0","0","13","20.5","1.6","0.1%"
"135","Kenny Stills (BUF)","11","19","144","13.1","24","0","1","0","0","0","0","10","20.4","2.0","1.0%"
"136","Isaiah Wright (WAS)","27","35","197","7.3","22","0","0","3","16","0","1","14","19.3","1.4","0.0%"
"137","John Hightower (PHI)","10","29","167","16.7","59","0","0","1","1","0","0","13","18.8","1.4","0.0%"
"138","Kalif Raymond (DET)","9","15","187","20.8","61","0","0","1","-3","0","0","15","18.4","1.2","0.0%"
"139","Equanimeous St. Brown (GB)","7","13","117","16.7","24","0","1","1","7","0","0","12","18.4","1.5","0.1%"
"140","Cameron Batson (TEN)","12","13","100","8.3","18","0","1","4","20","0","0","12","18.0","1.5","0.1%"
"141","KhaDarel Hodge (CLE)","11","17","180","16.4","42","0","0","0","0","0","0","9","18.0","2.0","0.0%"
"142","Brandon Powell (BUF)","12","18","69","5.8","13","0","2","2","7","0","1","15","17.6","1.2","0.0%"
"143","Alshon Jeffery (FA)","6","13","115","19.2","39","0","1","0","0","0","0","7","17.5","2.5","0.1%"
"144","Mike Thomas (CIN)","13","21","132","10.2","29","0","1","1","1","0","1","14","17.3","1.2","0.1%"
"145","KeeSean Johnson (ARI)","15","23","173","11.5","45","0","0","0","0","0","0","8","17.3","2.2","0.1%"
"146","Laquon Treadwell (JAC)","6","7","49","8.2","14","0","2","0","0","0","0","5","16.9","3.4","0.1%"
"147","Dez Bryant (FA)","6","11","47","7.8","16","0","2","0","0","0","0","6","16.7","2.8","2.6%"
"148","Jeff Smith (NYJ)","17","37","167","9.8","21","0","0","0","0","0","0","12","16.7","1.4","0.0%"
"149","Quez Watkins (PHI)","7","13","106","15.1","43","0","1","0","0","0","0","6","16.6","2.8","2.1%"
"150","Noah Brown (DAL)","14","24","154","11.0","20","0","0","1","4","0","0","16","15.8","1.0","0.1%"
"151","Malcolm Perry (MIA)","9","13","92","10.2","25","0","1","3","5","0","0","9","15.7","1.7","0.0%"
"152","Auden Tate (CIN)","14","22","150","10.7","19","0","0","0","0","0","0","9","15.0","1.7","0.2%"
"153","Christian Blake (ATL)","13","18","141","10.8","25","0","0","0","0","0","0","16","14.1","0.9","0.1%"
"154","Malik Taylor (GB)","5","6","66","13.2","26","0","1","1","9","0","0","15","13.5","0.9","0.0%"
"155","DeMichael Harris (IND)","10","10","79","7.9","21","0","0","6","46","0","0","7","12.5","1.8","0.0%"
"156","Ray-Ray McCloud (PIT)","20","22","77","3.9","13","0","0","4","65","0","1","16","12.2","0.8","0.1%"
"157","Chris Hogan (NO)","14","26","118","8.4","27","0","0","0","0","0","0","5","11.8","2.4","0.1%"
"158","Dante Pettis (NYG)","4","6","76","19.0","33","0","1","0","0","0","1","7","11.6","1.7","0.1%"
"159","Javon Wims (CHI)","6","12","48","8.0","13","0","1","1","2","0","0","13","11.0","0.8","0.1%"
"160","Jamal Agnew (JAC)","13","20","89","6.8","20","0","0","6","33","0","1","14","10.9","0.8","0.1%"
"161","Alex Erickson (HOU)","12","17","139","11.6","42","0","0","5","7","0","2","16","10.6","0.7","0.0%"
"162","Lil'Jordan Humphrey (NO)","3","5","46","15.3","17","0","1","0","0","0","0","3","10.6","3.5","0.1%"
"163","Diontae Spencer (DEN)","3","6","26","8.7","10","0","0","3","19","0","0","11","10.5","1.0","0.1%"
"164","J.J. Arcega-Whiteside (PHI)","4","8","85","21.3","37","0","0","0","0","0","0","8","10.5","1.3","0.1%"
"165","C.J. Board (NYG)","11","16","101","9.2","16","0","0","1","3","0","0","14","10.4","0.7","0.0%"
"166","Justin Watson (TB)","7","11","94","13.4","36","0","0","0","0","0","0","11","9.4","0.9","0.0%"
"167","Austin Mack (NYG)","7","11","91","13.0","50","0","0","0","0","0","0","11","9.1","0.8","0.0%"
"168","Joe Reed (LAC)","0","1","0","0","0","0","0","5","29","1","0","11","8.9","0.8","0.0%"
"169","Parris Campbell (IND)","6","9","71","11.8","21","0","0","2","16","0","0","2","8.7","4.4","17.7%"
"170","Austin Carr (FA)","3","4","27","9.0","11","0","1","0","0","0","0","6","8.7","1.5","0.0%"
