Rank,Player,REC,TGT,RE_YDS,Y/R,LG,20+,RE_TD,RU_ATT,RU_YDS,RU_TD,FL,G,FPTS,FPTS/G,OWN
31,Anthony Firkser (ATL),34,43,291,8.6,24,1,2,0,0,0,1,15,56.1,3.7,0.10%
32,Geoff Swaim (TEN),31,40,210,6.8,26,2,3,0,0,0,0,16,54.5,3.4,0.10%
33,Ricky Seals-Jones (NYG),30,49,271,9,39,2,2,0,0,0,0,11,54.1,4.9,0.60%
34,Jonnu Smith (NE),28,45,294,10.5,28,5,1,9,40,0,0,16,53.4,3.3,1.50%
35,Durham Smythe (MIA),34,41,357,10.5,25,5,0,2,3,0,0,16,53,3.3,0.10%
36,Harrison Bryant (CLE),21,28,233,11.1,41,6,3,0,0,0,0,15,51.8,3.5,0.40%
37,Ryan Griffin (CHI),27,42,261,9.7,29,4,2,0,0,0,0,14,51.6,3.7,0.00%
38,Hayden Hurst (CIN),26,31,221,8.5,33,2,3,0,0,0,1,12,51.1,4.3,12.20%
39,Adam Trautman (NO),27,43,263,9.7,32,3,2,0,0,0,1,11,49.8,4.5,1.40%
40,Josiah Deguara (GB),25,33,245,9.8,62,6,2,0,0,0,0,14,49,3.5,0.20%
41,Donald Parham Jr. (LAC),20,27,190,9.5,22,1,3,0,0,0,0,14,49,3.5,0.70%
42,Kyle Rudolph (TB),26,39,257,9.9,60,6,1,0,0,0,0,15,46.7,3.1,2.60%
43,Juwan Johnson (NO),13,22,159,12.2,27,3,4,0,0,0,0,13,46.4,3.6,0.10%
44,Brevin Jordan (HOU),20,28,178,8.9,27,2,3,0,0,0,0,8,45.8,5.7,2.80%
45,Logan Thomas (WAS),18,25,196,10.9,35,3,3,0,0,0,1,5,44.6,8.9,12.30%
46,Jimmy Graham (FA),14,23,167,11.9,28,2,3,0,0,0,0,11,43.7,4,0.00%
47,Tommy Tremble (CAR),20,35,180,9,30,2,1,3,11,1,0,15,43.1,2.9,0.90%
48,MyCole Pruitt (ATL),14,19,145,10.4,22,2,3,0,0,0,0,13,41.5,3.2,0.00%
49,Robert Tonyan (GB),18,29,204,11.3,33,5,2,0,0,0,0,8,41.4,5.2,20.30%
50,John Bates (WAS),20,25,249,12.5,32,5,1,0,0,0,0,13,40.9,3.1,0.20%
51,Will Dissly (SEA),21,26,231,11,39,6,1,0,0,0,0,13,39.6,3,0.20%
52,James O'Shaughnessy (CHI),24,34,244,10.2,30,6,0,0,0,0,0,7,38.4,5.5,0.10%
53,Maxx Williams (ARI),16,17,193,12.1,34,4,1,0,0,0,0,5,33.3,6.7,0.10%
54,Marcedes Lewis (GB),23,28,214,9.3,23,3,0,0,0,0,0,13,32.9,2.5,0.10%
55,Tyler Kroft (SF),16,25,173,10.8,26,3,1,0,0,0,0,9,31.3,3.5,0.10%
56,Stephen Anderson (ARI),16,19,165,10.3,34,4,1,0,0,0,0,14,30.5,2.2,0.00%
57,Brock Wright (DET),12,17,117,9.8,36,3,2,0,0,0,0,8,29.7,3.7,0.10%
58,Jordan Akins (NYG),24,33,214,8.9,31,2,0,1,3,0,2,12,29.7,2.5,0.10%
59,Ian Thomas (CAR),18,30,188,10.4,41,5,0,0,0,0,0,14,27.8,2,0.10%
60,Blake Jarwin (FA),11,17,96,8.7,20,1,2,0,0,0,0,8,27.1,3.4,2.10%
61,Pharaoh Brown (HOU),23,34,171,7.4,29,2,0,0,0,0,1,13,26.6,2,0.10%
62,O.J. Howard (BUF),14,21,135,9.6,21,1,1,0,0,0,0,11,26.5,2.4,1.40%
63,Eric Ebron (FA),12,18,84,7,19,0,1,1,1,1,0,8,26.5,3.3,0.10%
64,Zach Gentry (PIT),19,25,167,8.8,25,2,0,0,0,0,0,10,26.2,2.6,0.10%
65,Nick Vannett (NO),9,15,133,14.8,30,3,1,0,0,0,0,7,23.8,3.4,0.10%
66,Adam Shaheen (MIA),12,16,110,9.2,21,1,0,0,0,0,0,9,17,1.9,0.00%
67,Lee Smith (FA),9,11,65,7.2,22,1,1,0,0,0,0,10,17,1.7,0.00%
68,Kylen Granson (IND),11,15,106,9.6,27,1,0,0,0,0,0,10,16.1,1.6,0.20%
69,Chris Manhertz (JAC),6,9,71,11.8,22,1,1,0,0,0,0,10,16.1,1.6,0.00%
70,Jacob Hollister (LV),9,14,55,6.1,11,0,1,0,0,0,0,7,16,2.3,0.00%
71,Jesse James (FA),7,8,62,8.9,19,0,1,0,0,0,0,5,15.7,3.1,0.00%
72,Jesper Horsted (LV),2,3,21,10.5,19,0,2,0,0,0,0,4,15.1,3.8,0.00%
73,Tommy Sweeney (BUF),9,12,44,4.9,13,0,1,0,0,0,0,7,14.9,2.1,0.10%
74,Eric Saubert (DEN),8,12,47,5.9,11,0,1,0,0,0,0,10,14.7,1.5,0.00%
75,Blake Bell (KC),9,13,87,9.7,24,2,0,4,10,0,0,12,14.2,1.2,0.10%
76,Drew Sample (CIN),11,15,81,7.4,19,0,0,0,0,0,0,10,13.6,1.4,0.10%
77,Antony Auclair (HOU),5,5,47,9.4,15,0,1,0,0,0,0,4,13.2,3.3,0.00%
78,Noah Gray (KC),7,10,36,5.1,8,0,1,0,0,0,0,7,13.1,1.9,0.20%
79,Ross Dwelley (SF),4,5,51,12.8,21,1,1,0,0,0,0,4,13.1,3.3,0.00%
80,Chris Herndon IV (NO),4,7,40,10,17,0,1,0,0,0,0,6,12,2,0.00%
81,Josh Oliver (BAL),9,15,66,7.3,19,0,0,0,0,0,0,11,11.1,1,0.00%
82,Sean McKeon (DAL),4,6,27,6.8,12,0,1,0,0,0,0,5,10.7,2.1,0.10%
83,Tyree Jackson (PHI),3,7,22,7.3,13,0,1,0,0,0,0,3,9.7,3.2,0.10%
84,Chris Myarick (NYG),3,6,17,5.7,10,0,1,0,0,0,0,5,9.2,1.8,0.00%
85,Luke Farrell (JAC),7,11,56,8,21,1,0,0,0,0,0,9,9.1,1,0.00%
86,Charlie Woerner (SF),5,6,52,10.4,27,1,0,0,0,0,0,8,7.7,1,0.00%
87,Tre' McKitty (LAC),6,8,45,7.5,12,0,0,0,0,0,0,6,7.5,1.3,0.10%
88,Parker Hesse (ATL),5,6,43,8.6,17,0,0,0,0,0,0,4,6.8,1.7,0.00%
89,Darren Fells (FA),4,5,43,10.8,24,1,0,0,0,0,0,3,6.3,2.1,0.00%
90,Garrett Griffin (FA),4,4,39,9.8,14,0,0,0,0,0,0,5,5.9,1.2,0.00%
91,Colby Parkinson (SEA),5,8,33,6.6,12,0,0,0,0,0,0,6,5.8,1,0.00%
92,Kendall Blanton (LAR),4,7,37,9.3,23,1,0,0,0,0,0,4,5.7,1.4,0.10%
93,Tyler Davis (GB),4,5,35,8.8,22,1,0,0,0,0,0,8,5.5,0.7,0.00%
94,Trevon Wesco (NYJ),3,5,35,11.7,19,0,0,0,0,0,0,8,5,0.6,0.00%
95,Shane Zylstra (DET),3,7,34,11.3,16,0,0,0,0,0,0,3,4.9,1.6,0.00%
96,Kaden Smith (FA),3,3,33,11,21,1,0,0,0,0,0,4,4.8,1.2,0.00%
97,Jeremy Sprinkle (DAL),3,3,31,10.3,11,0,0,0,0,0,0,6,4.6,0.8,0.00%
98,Kenny Yeboah (NYJ),2,3,36,18,24,1,0,0,0,0,0,3,4.6,1.5,0.00%
99,Tommy Hudson (TEN),3,6,31,10.3,14,0,0,0,0,0,0,4,4.6,1.2,0.00%
100,Dominique Dafney (FA),2,4,34,17,26,1,0,0,0,0,0,6,4.4,0.7,0.00%
101,Jack Stoll (PHI),4,5,22,5.5,9,0,0,0,0,0,0,6,4.2,0.7,0.00%
102,Daniel Brown (FA),2,2,29,14.5,24,1,0,0,0,0,0,3,3.9,1.3,0.00%
103,Mitchell Wilcox (CIN),3,5,16,5.3,8,0,0,0,0,0,0,4,3.1,0.8,0.00%
104,Cethan Carter (MIA),2,2,16,8,8,0,0,0,0,0,0,8,2.6,0.3,0.00%
105,Demetrius Harris (FA),3,6,10,3.3,7,0,0,0,0,0,0,10,2.5,0.3,0.00%
106,Derek Carrier (FA),2,2,13,6.5,9,0,0,0,0,0,0,2,2.3,1.2,0.00%
107,Luke Stocker (FA),2,2,12,6,7,0,0,0,0,0,0,6,2.2,0.4,0.00%
108,Richard Rodgers (PHI),2,2,11,5.5,9,0,0,0,0,0,0,1,2.1,2.1,0.00%
109,Ethan Wolf (FA),2,2,8,4,4,0,0,0,0,0,0,1,1.8,1.8,0.00%
110,Kevin Rader (PIT),2,3,8,4,7,0,0,0,0,0,0,3,1.8,0.6,0.00%
111,Johnny Mundt (MIN),1,1,9,9,9,0,0,0,0,0,0,3,1.4,0.5,0.00%
112,Brycen Hopkins (LAR),1,1,9,9,9,0,0,0,0,0,0,1,1.4,1.4,0.10%
113,Hunter Long (MIA),1,3,8,8,8,0,0,0,0,0,0,3,1.3,0.4,0.10%
114,Eric Tomlinson (DEN),1,2,7,7,7,0,0,0,0,0,0,7,1.2,0.2,0.00%
115,Nick Boyle (BAL),1,2,2,2,2,0,0,0,0,0,0,2,0.7,0.4,0.10%
116,Darrell Daniels (FA),1,4,0,0,0,0,0,0,0,0,0,10,0.5,0.1,0.00%
117,Deon Yelder (ARI),1,1,0,0,0,0,0,0,0,0,0,2,0.5,0.3,0.00%
118,Daniel Helm (FA),1,2,-1,-1,0,0,0,0,0,0,0,3,0.4,0.1,0.00%
119,Jody Fortson (KC),5,5,47,9.4,27,1,2,0,0,0,0,4,0,0,0.10%
120,Nick Bowers (LV),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00%
121,Codey McElroy (FA),0,1,0,0,0,0,0,0,0,0,0,2,0,0,0.00%
122,Farrod Green (FA),0,0,0,0,0,0,0,0,0,0,0,1,0,0,0.00%
123,Josh Hokit (ARI),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00%
124,Sage Surratt (LAC),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00%
125,Tanner Hudson (SF),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00%
126,Jordan Franks (KC),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00%
127,Andrew Beck (DEN),0,0,0,0,0,0,0,0,0,0,0,1,0,0,0.00%
128,Jared Pinkney (LAR),0,0,0,0,0,0,0,0,0,0,0,1,0,0,0.00%
129,Antonio Gandy-Golden (FA),0,0,0,0,0,0,0,0,0,0,0,1,0,0,0.00%
130,Jace Sternberger (PIT),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00%
131,Nate Becker (GB),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00%
132,Matt Sokol (NE),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00%
133,Matthew Orzech (LAR),0,0,0,0,0,0,0,0,0,0,0,2,0,0,0.00%
134,Irv Smith Jr. (MIN),0,0,0,0,0,0,0,0,0,0,0,0,0,0,48.60%
135,Alize Mack (GB),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00%
136,Reggie Gilliam (BUF),3,5,23,7.7,8,0,0,3,3,0,0,8,0,0,0.00%
137,Tyler Mabry (SEA),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00%
138,Giovanni Ricci (CAR),0,2,0,0,0,0,0,0,0,0,0,9,0,0,0.00%
139,Lawrence Cager (NYJ),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00%
140,Rashod Berry (JAC),0,0,0,0,0,0,0,0,0,0,0,4,0,0,9.00%
141,Scotty Washington (CIN),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00%
142,Eli Wolf (WAS),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00%
143,John Lovett (MIA),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00%
144,Nakia Griffin-Stewart (CLE),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00%
145,Ben Ellefson (MIN),0,1,0,0,0,0,0,0,0,0,0,3,0,0,0.00%
146,Dalton Keene (NE),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00%
147,Devin Asiasi (NE),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00%
148,Chase Allen (CHI),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00%
149,J.J. Arcega-Whiteside (SEA),2,5,36,18,23,1,0,0,0,0,0,7,0,0,0.10%
150,Noah Togiai (PHI),0,0,0,0,0,0,0,0,0,0,0,1,0,0,0.00%
151,Thaddeus Moss (CIN),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.10%
152,Stephen Sullivan (CAR),0,1,0,0,0,0,0,0,0,0,0,1,0,0,0.00%
153,Jaeden Graham (PHI),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00%
154,Austin Allen (NYG),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00%
155,Michael Jacobson (IND),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00%
156,Cole Turner (WAS),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.10%
157,Jeremy Ruckert (NYJ),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.20%
158,Isaiah Likely (BAL),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.70%
159,Sal Cannella (GB),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00%
160,Jelani Woods (IND),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.90%
161,Derrick Deese Jr. (DET),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00%
162,Chigoziem Okonkwo (TEN),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.10%
163,Nikola Kalinic (IND),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00%
164,Grant Calcaterra (PHI),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00%
165,John FitzPatrick (ATL),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00%
166,Tanner Conner (MIA),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00%
167,Jalen Wydermyer (NE),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00%
168,Greg Dulcich (DEN),0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.30%
169,James Mitchell (DET),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00%
170,Cade Otton (TB),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.40%
171,Sammis Reyes (WAS),0,0,0,0,0,0,0,0,0,0,0,3,0,0,0.00%
172,Jacob Harris (LAR),0,0,0,0,0,0,0,0,0,0,0,1,0,0,0.10%
173,Ben Mason (BAL),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00%
174,Briley Moore (FA),0,0,0,0,0,0,0,0,0,0,0,2,0,0,0.00%
175,Noah Grey (KC),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00%
176,Nick Ralston (FA),0,0,0,0,0,0,0,0,0,0,0,1,0,0,0.00%
177,Hunter Kampmoyer (LAC),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00%
178,Zach Davidson (MIN),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00%
179,John Raine (ATL),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00%
180,Shaun Beyer (MIN),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00%
181,Bernhard Seikovits (ARI),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00%
182,Jake Hausmann (FA),0,0,0,0,0,0,0,0,0,0,0,1,0,0,0.00%
183,Teagan Quitoriano (HOU),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00%
184,Gerrit Prince (JAC),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00%
185,Zaire Mitchell-Paden (CLE),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00%
186,Cade Brewer (SEA),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00%
187,Kehinde Oginni Hassan (KC),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00%
188,Jake Tonges (CHI),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00%
189,Roger Carter (LAR),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00%
190,Dylan Parham (DEN),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00%
191,Andre Miller (NYG),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00%
192,Justin Rigg (CIN),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00%
193,Leroy Watson (ATL),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00%
194,Cole Fotheringham (LV),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00%
195,Jared Scott (CAR),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00%
196,JJ Howland (TB),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00%
197,Grayson Gunter (JAC),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00%
198,Daniel Bellinger (NYG),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.80%
199,Nick Muse (MIN),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00%
200,Lucas Krull (NO),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00%
201,Armani Rogers (WAS),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00%
202,Chris Pierce Jr. (ARI),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00%
203,Andrew Ogletree (IND),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00%
204,Connor Heyward (PIT),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.10%
205,Ko Kieft (TB),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00%
206,Seth Green (HOU),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00%
207,Josh Babicz (CAR),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00%
208,Erik Krommenhoek (LAC),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00%
209,Stone Smartt (LAC),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00%
210,Marcus Santos-Silva (CLE),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00%
211,Curtis Hodges (WAS),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00%
212,Matt Bushman (KC),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00%
213,Trey McBride (ARI),0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.50%
214,Peyton Hendershot (DAL),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00%
215,Tony Poljan (BAL),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00%
216,Miller Forristall (CLE),0,0,0,0,0,0,0,0,0,0,0,1,0,0,0.00%
217,Paul Quessenberry (HOU),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00%
218,Jake Ferguson (DAL),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.10%
219,Charlie Kolar (BAL),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.10%
220,Quintin Morris (BUF),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00%
221,Nick Eubanks (CIN),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00%
222,Taysom Hill (NO),4,6,52,13,15,0,0,70,374,5,0,12,0,0,4.20%
223,Dominique Curry (DET),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00%
224,James Dearth (NYJ),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00%
225,Marquez Branson (ATL),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00%
226,Jordan Matthews (SF),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00%
227,Drake Dunsmore (TB),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00%
228,Darnell Dinkins (NO),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00%
229,Derek Fine (HOU),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00%
230,J.P. Foschi (CIN),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00%
231,Brad Cottam (KC),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00%
232,Clark Harris (CIN),0,0,0,0,0,0,0,0,0,0,0,1,0,0,0.00%
233,Justin Snow (IND),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00%
234,Joey Haynos (MIA),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00%
235,Keith Zinger (ATL),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00%
236,J.P. Holtz (NO),0,0,0,0,0,0,0,0,0,0,0,5,0,0,0.00%
237,Zach Wood (NO),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00%
238,Beau Brinkley (ATL),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.20%
239,James Winchester (KC),0,0,0,0,0,0,0,0,0,0,0,1,0,0,0.00%
240,Tyler Ott (SEA),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00%
241,Patrick Scales (CHI),0,0,0,0,0,0,0,0,0,0,0,5,0,0,0.00%
242,Andrew DePaola (MIN),0,0,0,0,0,0,0,0,0,0,0,5,0,0,0.00%
243,Jeff Driskel (HOU),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00%
244,Colin Thompson (CAR),0,1,0,0,0,0,0,0,0,0,0,3,0,0,0.00%
245,Troy Fumagalli (SF),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00%
246,David Wells (TEN),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00%
247,Bug Howard (TB),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00%
248,Mason Schreck (HOU),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00%
249,Devin Funchess (DET),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00%
250,Thomas Odukoya (TEN),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00%
