RANK,TIER,PLAYER NAME,TEAM,POS,BYE,SOS_SEASON,ECR VS. ADP
471,15,Brandon Bolden,LV,RB134,6,2 out of 5 stars,-94
472,15,Tyrod Taylor,NYG,QB45,9,5 out of 5 stars,-
473,15,J.J. Taylor,NE,RB135,10,4 out of 5 stars,-
474,15,Trayveon Williams,CIN,RB136,10,3 out of 5 stars,-
475,15,Miles Boykin,PIT,WR159,9,4 out of 5 stars,-
476,15,Kylin Hill,GB,RB137,14,3 out of 5 stars,-
477,15,Justin Watson,KC,WR160,8,2 out of 5 stars,-
478,15,Dare Ogunbowale,HOU,RB138,6,3 out of 5 stars,-
479,15,Damiere Byrd,ATL,WR161,14,4 out of 5 stars,-
480,15,Ryan Griffin,CHI,TE66,14,5 out of 5 stars,-
481,15,Zach Gentry,PIT,TE67,9,4 out of 5 stars,-
482,15,Montrell Washington,DEN,WR162,9,4 out of 5 stars,-
483,15,Maxx Williams,ARI,TE68,13,3 out of 5 stars,-
484,15,Tyler Kroft,SF,TE69,9,4 out of 5 stars,-
485,15,Chris Moore,HOU,WR163,6,3 out of 5 stars,-
486,15,Jacob Harris,LAR,TE70,7,3 out of 5 stars,-
487,15,Travis Fulgham,GB,WR164,14,3 out of 5 stars,-
488,15,Blake Bell,KC,TE71,8,3 out of 5 stars,-
489,15,James O'Shaughnessy,CHI,TE72,14,5 out of 5 stars,-
490,15,Jeremy McNichols,PIT,RB139,9,3 out of 5 stars,-
491,15,Kendall Blanton,LAR,TE73,7,3 out of 5 stars,-
492,15,Preston Williams,MIA,WR165,11,2 out of 5 stars,-
493,15,Trent Sherfield,MIA,WR166,11,2 out of 5 stars,-
494,15,Nick Vannett,NO,TE74,14,4 out of 5 stars,-
495,15,Dezmon Patmon,IND,WR167,14,4 out of 5 stars,-
496,15,Marcedes Lewis,GB,TE75,14,1 out of 5 stars,-
497,16,Collin Johnson,NYG,WR168,9,4 out of 5 stars,-
498,16,Devin Funchess,DET,WR169,6,3 out of 5 stars,-
499,16,Jimmy Graham,FA,TE76,-,-,-
500,16,Albert Wilson,MIN,WR170,7,2 out of 5 stars,-
501,16,Mike Thomas,CIN,WR171,10,3 out of 5 stars,-
502,16,Lirim Hajrullahu,DAL,K39,9,5 out of 5 stars,-105
503,16,Chigoziem Okonkwo,TEN,TE77,6,5 out of 5 stars,-
504,16,Marcus Johnson,SF,WR172,9,3 out of 5 stars,-
505,16,Tre' McKitty,LAC,TE78,8,4 out of 5 stars,-
506,16,Keke Coutee,IND,WR173,14,4 out of 5 stars,-
507,16,Charlie Kolar,BAL,TE79,10,2 out of 5 stars,-
508,16,Dante Pettis,CHI,WR174,14,3 out of 5 stars,-
509,16,Hunter Long,MIA,TE80,11,3 out of 5 stars,-
510,16,Sam Howell,WAS,QB46,14,4 out of 5 stars,-
511,16,Bisi Johnson,MIN,WR175,7,2 out of 5 stars,-
512,16,Andrew Jacas,SF,K40,9,3 out of 5 stars,-
513,16,David Moore,CHI,WR176,14,3 out of 5 stars,-
514,16,Jashaun Corbin,NYG,RB140,9,3 out of 5 stars,-
515,16,Jacob Hollister,LV,TE81,6,2 out of 5 stars,-
516,16,Nick Boyle,BAL,TE82,10,2 out of 5 stars,-
517,16,Larry Rountree III,LAC,RB141,8,2 out of 5 stars,-
518,16,Gardner Minshew II,PHI,QB47,7,4 out of 5 stars,-
519,16,Chris Manhertz,JAC,TE83,11,4 out of 5 stars,-
520,16,Chester Rogers,HOU,WR177,6,3 out of 5 stars,-
521,16,Noah Gray,KC,TE84,8,3 out of 5 stars,-
522,16,Cam Sims,WAS,WR178,14,4 out of 5 stars,-183
523,16,Royce Freeman,HOU,RB142,6,3 out of 5 stars,-
524,16,Alec Ingold,MIA,RB143,11,4 out of 5 stars,-
525,16,Jalen Nailor,MIN,WR179,7,2 out of 5 stars,-179
526,16,Jordan Love,GB,QB48,14,2 out of 5 stars,-118
